900046192;Морозов М.М.;Головино п., Улица не указана, Школьная, 0;0;0
900077700;Васильев Е.Е.;Лемешки с., Лесная тер, Дом не указан, Квартира не указана;519;188.48
900077741;Попов Д.Д.;Муром г., Луговая ул, 51А, 97;519;141.14;3300000001 ХВС;0
900077790;Смирнов В.В.;Новоселка д., Улица не указана, Центральная, 0;0;0
900077814;Егоров Е.Е.;Красная Горбатка п., Мира пр-кт, Дом не указан, Квартира не указана;519;136.25
900077832;Егоров Е.Е.;Лакинск г., Пионерская ул, Дом не указан, Квартира не указана;519;130.05
900077895;Сидоров С.С.;Новоселка д., Мира наб, 70, 116;519;259.34;3300000001 ХВС;0
900077896;данные отсутствуют;Юрьевец п., Луговая пр-кт, 41, 0;519;158.83
900077931;данные отсутствуют;Ковров г., Заречная мкр, 7, 0;519;531.13
900077940;Кузнецов А.А.;Александров г., Первомайская мкр, 62, 13;519;211.46;3300000001 ХВС;0
900077969;Фёдоров Ф.Ф.;Камешково г., Луговая тер, 109, 15;519;103.65;3300000001 ХВС;0
900078032;данные отсутствуют;Юрьевец п., Полевая пр-кт, 58, 0;519;417.80
900078050;данные отсутствуют;Владимир г., Заречная б-р, 47А, 0;519;268.90
900078064;данные отсутствуют;Лакинск г., Первомайская пр-кт, 82, 0;519;477.47
900078079;Иванов И.И.;Владимир г., Пушкина пр-кт, Дом не указан, Квартира не указана;519;333.02
900078114;данные отсутствуют;Боголюбово п., Новая ул, 19, 0;519;233.46
900078116;Лебедев Л.Л.;Ставрово п., Центральная пр-кт, 80, 11;519;0
900078195;Сидоров С.С.;Ставрово п., Центральная пр-кт, Дом не указан, Квартира не указана;519;215.52
900078206;Морозов М.М.;Гусь-Хрустальный г., Школьная пр-кт, 80, 126;519;0
900078207;Алексеев А.А.;Покров г., Колхозная ул, Дом не указан, Квартира не указана;519;186.48
900078214;Сидоров С.С.;Сокол п., Улица не указана, Набережная, 0;0;0
900078219;Михайлов М.М.;Камешково г., Строительная б-р, Дом не указан, Квартира не указана;519;377.83
900078244;Сидоров С.С.;Собинка г., Полевая пл, 89, 118;519;178.97;3300000001 ХВС;0
900078267;Лебедев Л.Л.;Красная Горбатка п., Луговая пл, 67, 97;519;177.05;3300000001 ХВС;0
900078279;Новиков Н.Н.;Лемешки с., Свободы мкр, 6, 52;519;0
900078311;Иванов И.И.;Собинка г., Улица не указана, Пионерская, 0;0;0
900078325;Смирнов В.В.;Юрьевец п., Садовая наб, Дом не указан, Квартира не указана;519;224.24
900078354;данные отсутствуют;Сокол п., Центральная шоссе, 87, 0;519;407.45
900078362;Новиков Н.Н.;Головино п., Лесная мкр, 65, 90;519;0
900078370;Фёдоров Ф.Ф.;Кольчугино г., Улица не указана, Победы, 0;0;0
900078396;данные отсутствуют;Лемешки с., Гагарина пл, 86А, 0;519;470.22
900078402;Васильев Е.Е.;Киржач г., Свободы б-р, 139А, 67;519;412.19;3300000001 ХВС;0
900078442;данные отсутствуют;Камешково г., Первомайская мкр, 143, 0;519;84.83
900078477;Фёдоров Ф.Ф.;Семьинское с., Улица не указана, Набережная, 0;0;0
900078504;Алексеев А.А.;Камешково г., Улица не указана, Свободы, 0;0;0
900078529;Петров П.П.;Беречино д., Молодежная мкр, Дом не указан, Квартира не указана;519;109.67
900078549;Егоров Е.Е.;Ковров г., Пушкина наб, 25, 145;519;0
900078563;Михайлов М.М.;Киржач г., Пушкина б-р, 56, 139;519;0
900078592;данные отсутствуют;Камешково г., Лесная тер, 61, 0;519;174.17
900078594;данные отсутствуют;Вязники г., Комсомольская пр-кт, 140, 0;519;125.72
900078603;Попов Д.Д.;Покров г., Мира пр-кт, 12, 17;519;337.32;3300000001 ХВС;0
900078626;Фёдоров Ф.Ф.;Лакинск г., Колхозная пер, Дом не указан, Квартира не указана;519;331.05
900078681;данные отсутствуют;Суздаль г., Первомайская пер, 145, 0;519;267.90
900078710;Петров П.П.;Александров г., Первомайская пр-кт, 100, 60;519;527.42;3300000001 ХВС;0
900078715;Иванов И.И.;Новоселка д., Центральная пл, Дом не указан, Квартира не указана;519;344.63
900078747;Волков В.В.;Юрьевец п., Улица не указана, Заречная, 0;0;0
900078775;данные отсутствуют;Новоселка д., Садовая мкр, 77, 0;519;448.57
900078855;Иванов И.И.;Лакинск г., Заречная тер, Дом не указан, Квартира не указана;519;300.44
900078857;Михайлов М.М.;Боголюбово п., Комсомольская б-р, 21, 97;519;400.43;3300000001 ХВС;0
900078875;Лебедев Л.Л.;Беречино д., Садовая шоссе, 147, 91;519;539.89;3300000001 ХВС;0
900078898;данные отсутствуют;Семьинское с., Мира б-р, 104, 0;519;393.02
900078905;Фёдоров Ф.Ф.;Суздаль г., Садовая тер, 84, 137;519;416.03;3300000001 ХВС;0
900078909;Попов Д.Д.;Лакинск г., Гагарина мкр, Дом не указан, Квартира не указана;519;290.81
900078941;Попов Д.Д.;Александров г., Улица не указана, Строительная, 0;0;0
900078995;Морозов М.М.;Телегино д., Советская пл, Дом не указан, Квартира не указана;519;434.00
900079005;Алексеев А.А.;Беречино д., Улица не указана, Свободы, 0;0;0
900079017;Сидоров С.С.;Суздаль г., Пионерская шоссе, Дом не указан, Квартира не указана;519;414.44
900079033;Морозов М.М.;Вязники г., Пионерская наб, 3, 60;519;0
900079035;Семёнов С.С.;Кольчугино г., Луговая пр-кт, Дом не указан, Квартира не указана;519;485.01
900079050;Сидоров С.С.;Александров г., Заречная шоссе, 129, 82;519;0
900079052;Морозов М.М.;Вязники г., Строительная пер, 110, 1;519;450.77;3300000001 ХВС;0
900079056;Петров П.П.;Александров г., Школьная б-р, 52А, 133;519;0
900079069;Петров П.П.;Камешково г., Улица не указана, Свободы, 0;0;0
900079076;данные отсутствуют;Новоселка д., Пионерская шоссе, 5, 0;519;314.64
900079158;Морозов М.М.;Сокол п., Улица не указана, Первомайская, 0;0;0
900079173;Смирнов В.В.;Вязники г., Улица не указана, Молодежная, 0;0;0
900079210;Иванов И.И.;Беречино д., Улица не указана, Свободы, 0;0;0
900079211;Семёнов С.С.;Новоселка д., Улица не указана, Победы, 0;0;0
900079248;Сидоров С.С.;Лакинск г., Школьная наб, 20, 50;519;455.70;3300000001 ХВС;0
900079264;Петров П.П.;Гусь-Хрустальный г., Строительная шоссе, 132, 137;519;0
900079307;Новиков Н.Н.;Семьинское с., Лесная тер, Дом не указан, Квартира не указана;519;182.14
900079328;Смирнов В.В.;Бавлены п., Колхозная тер, Дом не указан, Квартира не указана;519;378.76
900079329;Фёдоров Ф.Ф.;Кольчугино г., Пионерская ул, 47, 23;519;194.01;3300000001 ХВС;0
900079367;данные отсутствуют;Боголюбово п., Свободы шоссе, 75, 0;519;334.09
900079414;Новиков Н.Н.;Лакинск г., Ленина наб, 72, 51;519;272.17;3300000001 ХВС;0
900079429;данные отсутствуют;Киржач г., Ленина наб, 37, 0;519;56.14
900079445;Иванов И.И.;Телегино д., Победы пр-кт, 73А, 134;519;199.56;3300000001 ХВС;0
900079456;Алексеев А.А.;Киржач г., Пионерская пер, 70, 33;519;0
900079477;Петров П.П.;Новоселка д., Улица не указана, Молодежная, 0;0;0
900079494;Михайлов М.М.;Юрьевец п., Центральная мкр, 77, 46;519;381.14;3300000001 ХВС;0
900079542;Кузнецов А.А.;Камешково г., Улица не указана, Лесная, 0;0;0
900079582;Алексеев А.А.;Красная Горбатка п., Советская пер, 2, 108;519;480.11;3300000001 ХВС;0
900079600;Волков В.В.;Киржач г., Мира наб, 30, 119;519;449.52;3300000001 ХВС;0
900079625;Петров П.П.;Суздаль г., Советская ул, 13, 93;519;539.19;3300000001 ХВС;0
900079666;Михайлов М.М.;Муром г., Заречная шоссе, 43, 48;519;261.49;3300000001 ХВС;0
900079701;Попов Д.Д.;Кольчугино г., Октябрьская мкр, 85, 134;519;0
900079707;Новиков Н.Н.;Кольчугино г., Улица не указана, Лесная, 0;0;0
900079780;данные отсутствуют;Головино п., Молодежная пр-кт, 135, 0;519;515.70
900079790;Алексеев А.А.;Беречино д., Улица не указана, Мира, 0;0;0
900079807;Михайлов М.М.;Гусь-Хрустальный г., Гагарина б-р, 113, 37;519;0
900079842;Новиков Н.Н.;Лемешки с., Советская пр-кт, Дом не указан, Квартира не указана;519;214.14
900079863;Морозов М.М.;Киржач г., Лесная б-р, Дом не указан, Квартира не указана;519;127.65
900079876;Морозов М.М.;Боголюбово п., Первомайская шоссе, 44, 83;519;0
900079901;данные отсутствуют;Сокол п., Центральная шоссе, 118, 0;519;371.50
900079938;Лебедев Л.Л.;Вязники г., Колхозная б-р, 63, 109;519;0
900079961;Семёнов С.С.;Камешково г., Улица не указана, Первомайская, 0;0;0
900079991;Кузнецов А.А.;Боголюбово п., Набережная шоссе, 50, 9;519;0
900080007;Иванов И.И.;Беречино д., Улица не указана, Центральная, 0;0;0
900080028;Смирнов В.В.;Новоселка д., Садовая шоссе, Дом не указан, Квартира не указана;519;366.73
900080064;Иванов И.И.;Ставрово п., Луговая наб, 14, 8;519;333.13;3300000001 ХВС;0
900080103;Морозов М.М.;Телегино д., Улица не указана, Победы, 0;0;0
900080114;Михайлов М.М.;Бавлены п., Улица не указана, Школьная, 0;0;0
900080140;данные отсутствуют;Покров г., Садовая наб, 72А, 0;519;532.58
900080144;Егоров Е.Е.;Вязники г., Садовая мкр, Дом не указан, Квартира не указана;519;534.67
900080145;Попов Д.Д.;Лакинск г., Первомайская б-р, Дом не указан, Квартира не указана;519;209.21
900080169;Семёнов С.С.;Новоселка д., Улица не указана, Лесная, 0;0;0
900080196;Сидоров С.С.;Телегино д., Улица не указана, Ленина, 0;0;0
900080218;данные отсутствуют;Кольчугино г., Школьная б-р, 44, 0;519;423.31
900080278;Лебедев Л.Л.;Лакинск г., Гагарина ул, 103, 32;519;0
900080282;данные отсутствуют;Кольчугино г., Октябрьская ул, 89, 0;519;251.76
900080290;данные отсутствуют;Лемешки с., Колхозная мкр, 145, 0;519;323.72
900080292;Алексеев А.А.;Бавлены п., Полевая мкр, 111, 51;519;0
900080302;Фёдоров Ф.Ф.;Камешково г., Улица не указана, Пионерская, 0;0;0
900080325;Сидоров С.С.;Беречино д., Гагарина пер, 75, 89;519;0
900080361;Егоров Е.Е.;Лемешки с., Школьная пл, 110, 80;519;0
900080379;Морозов М.М.;Камешково г., Улица не указана, Ленина, 0;0;0
900080391;Петров П.П.;Муром г., Молодежная пр-кт, Дом не указан, Квартира не указана;519;375.31
900080427;Фёдоров Ф.Ф.;Новоселка д., Улица не указана, Победы, 0;0;0
900080440;Егоров Е.Е.;Беречино д., Улица не указана, Полевая, 0;0;0
900080443;данные отсутствуют;Ковров г., Пушкина пр-кт, 120, 0;519;536.02
900080447;данные отсутствуют;Кольчугино г., Лесная пер, 24, 0;519;355.13
900080461;Сидоров С.С.;Новоселка д., Первомайская тер, 83, 35;519;0
900080478;Фёдоров Ф.Ф.;Лакинск г., Улица не указана, Заречная, 0;0;0
900080484;Лебедев Л.Л.;Александров г., Улица не указана, Мира, 0;0;0
900080499;Морозов М.М.;Собинка г., Ленина б-р, Дом не указан, Квартира не указана;519;324.02
900080559;Волков В.В.;Муром г., Улица не указана, Гагарина, 0;0;0
900080562;Иванов И.И.;Собинка г., Молодежная мкр, Дом не указан, Квартира не указана;519;409.77
900080594;данные отсутствуют;Лемешки с., Садовая мкр, 56, 0;519;233.69
900080596;данные отсутствуют;Киржач г., Школьная тер, 94, 0;519;221.98
900080627;данные отсутствуют;Семьинское с., Пушкина пер, 76, 0;519;293.22
900080650;данные отсутствуют;Телегино д., Свободы пер, 114, 0;519;343.09
900080670;данные отсутствуют;Суздаль г., Полевая б-р, 34, 0;519;487.30
900080690;данные отсутствуют;Головино п., Ленина б-р, 98, 0;519;130.95
900080738;Петров П.П.;Камешково г., Первомайская ул, 79, 54;519;0
900080741;Волков В.В.;Красная Горбатка п., Гагарина ул, Дом не указан, Квартира не указана;519;537.16
900080748;Фёдоров Ф.Ф.;Беречино д., Гагарина мкр, Дом не указан, Квартира не указана;519;235.93
900080750;Егоров Е.Е.;Гусь-Хрустальный г., Полевая пр-кт, 96А, 98;519;105.93;3300000001 ХВС;0
900080848;Михайлов М.М.;Беречино д., Победы ул, 4, 116;519;147.21;3300000001 ХВС;0
900080887;Петров П.П.;Лакинск г., Комсомольская шоссе, 111, 34;519;0
900080900;Сидоров С.С.;Кольчугино г., Лесная тер, 1, 42;519;399.79;3300000001 ХВС;0
900080909;данные отсутствуют;Муром г., Молодежная мкр, 150, 0;519;167.09
900080918;Смирнов В.В.;Гусь-Хрустальный г., Комсомольская пл, 146, 10;519;331.41;3300000001 ХВС;0
900080940;Смирнов В.В.;Бавлены п., Ленина б-р, 122, 85;519;544.12;3300000001 ХВС;0
900080962;Новиков Н.Н.;Сокол п., Улица не указана, Центральная, 0;0;0
900081017;Новиков Н.Н.;Гусь-Хрустальный г., Лесная б-р, 57, 124;519;0
900081032;Иванов И.И.;Покров г., Победы б-р, 1, 94;519;0
900081060;Волков В.В.;Новоселка д., Строительная б-р, 136, 141;519;0
900081079;Кузнецов А.А.;Головино п., Молодежная б-р, 142, 8;519;86.55;3300000001 ХВС;0
900081086;Петров П.П.;Новоселка д., Строительная пл, 19, 138;519;0
900081142;Иванов И.И.;Александров г., Колхозная б-р, 144, 106;519;152.75;3300000001 ХВС;0
900081147;Михайлов М.М.;Лемешки с., Улица не указана, Мира, 0;0;0
900081216;Алексеев А.А.;Суздаль г., Мира наб, 67, 120;519;335.77;3300000001 ХВС;0
900081260;данные отсутствуют;Красная Горбатка п., Молодежная тер, 36А, 0;519;274.29
900081261;Егоров Е.Е.;Головино п., Мира б-р, 86, 51;519;0
900081277;Петров П.П.;Ставрово п., Советская б-р, Дом не указан, Квартира не указана;519;497.21
900081345;Сидоров С.С.;Суздаль г., Колхозная б-р, 8А, 109;519;128.14;3300000001 ХВС;0
900081413;Петров П.П.;Александров г., Улица не указана, Луговая, 0;0;0
900081422;Смирнов В.В.;Гусь-Хрустальный г., Школьная б-р, Дом не указан, Квартира не указана;519;364.20
900081437;Егоров Е.Е.;Боголюбово п., Улица не указана, Пушкина, 0;0;0
900081447;Иванов И.И.;Кольчугино г., Колхозная мкр, 75, 127;519;146.15;3300000001 ХВС;0
900081448;данные отсутствуют;Сокол п., Заречная пр-кт, 150, 0;519;180.36
900081450;Иванов И.И.;Красная Горбатка п., Полевая б-р, Дом не указан, Квартира не указана;519;218.91
900081478;данные отсутствуют;Киржач г., Новая пр-кт, 8, 0;519;452.09
900081506;Фёдоров Ф.Ф.;Семьинское с., Луговая пл, 59А, 75;519;395.10;3300000001 ХВС;0
900081522;Алексеев А.А.;Лакинск г., Победы шоссе, Дом не указан, Квартира не указана;519;383.86
900081552;Волков В.В.;Беречино д., Улица не указана, Победы, 0;0;0
900081600;Волков В.В.;Муром г., Улица не указана, Мира, 0;0;0
900081612;Попов Д.Д.;Красная Горбатка п., Школьная тер, 38, 125;519;306.54;3300000001 ХВС;0
900081616;Кузнецов А.А.;Головино п., Улица не указана, Луговая, 0;0;0
900081683;Фёдоров Ф.Ф.;Киржач г., Улица не указана, Ленина, 0;0;0
900081713;Морозов М.М.;Камешково г., Советская пр-кт, 30, 141;519;406.16;3300000001 ХВС;0
900081885;данные отсутствуют;Муром г., Первомайская пл, 149, 0;519;298.78
900081894;данные отсутствуют;Владимир г., Молодежная пл, 71, 0;519;215.88
900081900;Новиков Н.Н.;Суздаль г., Полевая пер, Дом не указан, Квартира не указана;519;115.17
900081935;Фёдоров Ф.Ф.;Ковров г., Мира мкр, Дом не указан, Квартира не указана;519;492.30
900081971;Кузнецов А.А.;Новоселка д., Набережная наб, Дом не указан, Квартира не указана;519;159.91
900081977;Сидоров С.С.;Телегино д., Комсомольская б-р, Дом не указан, Квартира не указана;519;407.83
900081979;Петров П.П.;Лакинск г., Колхозная пер, Дом не указан, Квартира не указана;519;170.87
900082019;данные отсутствуют;Собинка г., Набережная наб, 25, 0;519;198.26
900082029;Сидоров С.С.;Сокол п., Улица не указана, Пушкина, 0;0;0
900082040;Петров П.П.;Телегино д., Улица не указана, Лесная, 0;0;0
900082090;Фёдоров Ф.Ф.;Собинка г., Ленина пл, Дом не указан, Квартира не указана;519;255.65
900082113;данные отсутствуют;Ковров г., Школьная тер, 13, 0;519;488.43
900082121;Смирнов В.В.;Семьинское с., Пионерская мкр, Дом не указан, Квартира не указана;519;61.53
900082138;Морозов М.М.;Суздаль г., Строительная б-р, Дом не указан, Квартира не указана;519;135.59
900082172;Новиков Н.Н.;Ставрово п., Победы мкр, Дом не указан, Квартира не указана;519;463.22
900082207;Смирнов В.В.;Бавлены п., Заречная пр-кт, 109, 47;519;71.37;3300000001 ХВС;0
900082285;Кузнецов А.А.;Беречино д., Школьная шоссе, 55, 124;519;0
900082293;Егоров Е.Е.;Головино п., Полевая пр-кт, 34А, 6;519;0
900082303;данные отсутствуют;Ставрово п., Полевая тер, 138, 0;519;93.06
900082338;Попов Д.Д.;Владимир г., Гагарина б-р, Дом не указан, Квартира не указана;519;70.03
900082353;Волков В.В.;Лакинск г., Луговая наб, 106, 36;519;0
900082385;Михайлов М.М.;Муром г., Луговая наб, 121, 44;519;209.14;3300000001 ХВС;0
900082424;данные отсутствуют;Головино п., Комсомольская ул, 8, 0;519;440.46
900082458;Петров П.П.;Суздаль г., Пионерская тер, Дом не указан, Квартира не указана;519;266.81
900082488;Лебедев Л.Л.;Киржач г., Октябрьская б-р, Дом не указан, Квартира не указана;519;172.23
900082494;Фёдоров Ф.Ф.;Телегино д., Гагарина ул, 125, 35;519;0
900082587;Волков В.В.;Ставрово п., Центральная мкр, 10, 108;519;425.68;3300000001 ХВС;0
900082610;Попов Д.Д.;Суздаль г., Набережная ул, Дом не указан, Квартира не указана;519;400.37
900082709;Алексеев А.А.;Вязники г., Улица не указана, Луговая, 0;0;0
900082735;Иванов И.И.;Муром г., Гагарина наб, Дом не указан, Квартира не указана;519;155.09
900082740;Петров П.П.;Муром г., Мира пер, Дом не указан, Квартира не указана;519;510.75
900082744;Волков В.В.;Камешково г., Гагарина пер, Дом не указан, Квартира не указана;519;358.74
900082821;Смирнов В.В.;Красная Горбатка п., Советская пл, Дом не указан, Квартира не указана;519;294.67
900082849;Васильев Е.Е.;Вязники г., Улица не указана, Первомайская, 0;0;0
900082856;Егоров Е.Е.;Муром г., Полевая пл, 140, 17;519;0
900082953;Новиков Н.Н.;Киржач г., Комсомольская тер, Дом не указан, Квартира не указана;519;170.56
900082956;Иванов И.И.;Муром г., Улица не указана, Комсомольская, 0;0;0
900083008;Михайлов М.М.;Красная Горбатка п., Улица не указана, Первомайская, 0;0;0
900083016;Кузнецов А.А.;Беречино д., Улица не указана, Мира, 0;0;0
900083067;Васильев Е.Е.;Юрьевец п., Улица не указана, Новая, 0;0;0
900083083;данные отсутствуют;Александров г., Заречная пер, 92, 0;519;151.03
900083131;Фёдоров Ф.Ф.;Гусь-Хрустальный г., Молодежная тер, 110, 27;519;0
900083151;Лебедев Л.Л.;Гусь-Хрустальный г., Октябрьская шоссе, 136, 3;519;0
900083174;Егоров Е.Е.;Сокол п., Заречная тер, 79, 45;519;0
900083190;Алексеев А.А.;Собинка г., Улица не указана, Луговая, 0;0;0
900083196;Фёдоров Ф.Ф.;Головино п., Гагарина пер, 22, 113;519;0
900083222;Сидоров С.С.;Владимир г., Свободы ул, 118, 49;519;0
900083224;Новиков Н.Н.;Беречино д., Набережная тер, Дом не указан, Квартира не указана;519;213.35
900083262;Михайлов М.М.;Сокол п., Улица не указана, Советская, 0;0;0
900083268;Смирнов В.В.;Камешково г., Улица не указана, Заречная, 0;0;0
900083280;данные отсутствуют;Покров г., Пушкина пер, 106, 0;519;526.92
900083315;Иванов И.И.;Киржач г., Улица не указана, Набережная, 0;0;0
900083329;Семёнов С.С.;Сокол п., Первомайская шоссе, 63, 116;519;0
900083332;данные отсутствуют;Муром г., Садовая тер, 54, 0;519;272.98
900083340;Семёнов С.С.;Александров г., Улица не указана, Молодежная, 0;0;0
900083341;Смирнов В.В.;Вязники г., Победы наб, 6, 41;519;103.56;3300000001 ХВС;0
900083395;Алексеев А.А.;Киржач г., Новая тер, 132А, 106;519;0
900083501;Иванов И.И.;Александров г., Мира шоссе, 124, 52;519;0
900083502;Егоров Е.Е.;Собинка г., Школьная наб, 59А, 101;519;0
900083569;Морозов М.М.;Боголюбово п., Луговая б-р, 83, 132;519;0
900083622;Алексеев А.А.;Собинка г., Комсомольская б-р, 111, 135;519;0
900083647;Новиков Н.Н.;Камешково г., Улица не указана, Луговая, 0;0;0
900083726;данные отсутствуют;Ставрово п., Луговая пер, 115А, 0;519;176.54
900083738;Семёнов С.С.;Семьинское с., Улица не указана, Комсомольская, 0;0;0
900083747;Новиков Н.Н.;Киржач г., Комсомольская пер, 102, 86;519;0
900083750;Сидоров С.С.;Лакинск г., Лесная пер, 19, 111;519;138.41;3300000001 ХВС;0
900083775;Алексеев А.А.;Новоселка д., Октябрьская пл, 104, 21;519;0
900083824;данные отсутствуют;Камешково г., Полевая шоссе, 121, 0;519;425.57
900083837;Иванов И.И.;Беречино д., Улица не указана, Гагарина, 0;0;0
900083857;данные отсутствуют;Муром г., Полевая наб, 45, 0;519;323.96
900083900;Новиков Н.Н.;Телегино д., Колхозная б-р, Дом не указан, Квартира не указана;519;294.18
900083905;Кузнецов А.А.;Юрьевец п., Советская пер, 78, 121;519;0
900083945;Алексеев А.А.;Гусь-Хрустальный г., Центральная тер, Дом не указан, Квартира не указана;519;106.72
900083961;Морозов М.М.;Ставрово п., Набережная б-р, 74, 42;519;0
900083990;Морозов М.М.;Камешково г., Центральная пр-кт, 10, 86;519;439.85;3300000001 ХВС;0
900083992;Морозов М.М.;Сокол п., Октябрьская наб, Дом не указан, Квартира не указана;519;187.27
900083997;Лебедев Л.Л.;Камешково г., Колхозная пер, Дом не указан, Квартира не указана;519;486.76
900084055;Смирнов В.В.;Муром г., Улица не указана, Первомайская, 0;0;0
900084058;Семёнов С.С.;Ковров г., Комсомольская шоссе, 18А, 143;519;0
900084073;данные отсутствуют;Беречино д., Колхозная наб, 97, 0;519;105.10
900084133;Егоров Е.Е.;Вязники г., Молодежная мкр, 81, 144;519;0
900084191;Попов Д.Д.;Владимир г., Пушкина ул, 68, 36;519;0
900084266;Волков В.В.;Гусь-Хрустальный г., Набережная пер, 148, 111;519;220.28;3300000001 ХВС;0
900084314;данные отсутствуют;Ставрово п., Садовая ул, 129, 0;519;268.18
900084339;Кузнецов А.А.;Беречино д., Улица не указана, Заречная, 0;0;0
900084355;Иванов И.И.;Юрьевец п., Улица не указана, Центральная, 0;0;0
900084395;Иванов И.И.;Новоселка д., Пушкина пл, 145, 109;519;268.03;3300000001 ХВС;0
900084401;Фёдоров Ф.Ф.;Кольчугино г., Строительная наб, 60, 64;519;0
900084467;Попов Д.Д.;Александров г., Заречная ул, 13, 98;519;257.94;3300000001 ХВС;0
900084468;данные отсутствуют;Головино п., Строительная ул, 110А, 0;519;516.81
900084481;Михайлов М.М.;Лакинск г., Заречная б-р, 109, 27;519;0
900084495;Алексеев А.А.;Покров г., Победы шоссе, 62, 10;519;0
900084538;Новиков Н.Н.;Киржач г., Комсомольская мкр, 131А, 2;519;0
900084558;данные отсутствуют;Кольчугино г., Новая шоссе, 12, 0;519;493.03
900084584;Фёдоров Ф.Ф.;Кольчугино г., Лесная б-р, 21, 62;519;447.81;3300000001 ХВС;0
900084631;Волков В.В.;Семьинское с., Гагарина ул, Дом не указан, Квартира не указана;519;226.15
900084641;Попов Д.Д.;Бавлены п., Луговая пер, 74, 143;519;298.26;3300000001 ХВС;0
900084676;данные отсутствуют;Покров г., Полевая пл, 69, 0;519;157.76
900084692;Новиков Н.Н.;Новоселка д., Улица не указана, Первомайская, 0;0;0
900084694;Волков В.В.;Бавлены п., Луговая шоссе, 49, 149;519;79.47;3300000001 ХВС;0
900084748;Егоров Е.Е.;Муром г., Заречная пер, Дом не указан, Квартира не указана;519;148.21
900084750;Сидоров С.С.;Муром г., Победы пер, 73, 31;519;0
900084757;Морозов М.М.;Юрьевец п., Луговая мкр, 18, 129;519;529.23;3300000001 ХВС;0
900084762;Алексеев А.А.;Семьинское с., Улица не указана, Гагарина, 0;0;0
900084765;Попов Д.Д.;Бавлены п., Колхозная ул, 3, 142;519;0
900084786;Семёнов С.С.;Лемешки с., Улица не указана, Победы, 0;0;0
900084827;Кузнецов А.А.;Киржач г., Свободы пер, 140, 53;519;157.79;3300000001 ХВС;0
900084898;Фёдоров Ф.Ф.;Бавлены п., Улица не указана, Луговая, 0;0;0
900084974;Кузнецов А.А.;Владимир г., Ленина пер, Дом не указан, Квартира не указана;519;396.60
900084976;данные отсутствуют;Телегино д., Школьная мкр, 116, 0;519;469.73
900084978;Волков В.В.;Кольчугино г., Первомайская пл, Дом не указан, Квартира не указана;519;93.47
900084993;Сидоров С.С.;Новоселка д., Первомайская б-р, 110, 32;519;343.87;3300000001 ХВС;0
900085042;Волков В.В.;Семьинское с., Пионерская б-р, Дом не указан, Квартира не указана;519;523.45
900085051;Попов Д.Д.;Беречино д., Ленина тер, 128, 55;519;0
900085124;Волков В.В.;Семьинское с., Улица не указана, Пушкина, 0;0;0
900085130;данные отсутствуют;Лемешки с., Советская пр-кт, 9, 0;519;356.11
900085135;Иванов И.И.;Семьинское с., Набережная тер, 16, 1;519;0
900085149;Кузнецов А.А.;Владимир г., Первомайская ул, 44, 133;519;0
900085151;Фёдоров Ф.Ф.;Сокол п., Свободы пр-кт, 146, 25;519;0
900085164;данные отсутствуют;Лемешки с., Ленина б-р, 123, 0;519;433.11
900085166;Алексеев А.А.;Головино п., Мира шоссе, 117, 93;519;0
900085169;Алексеев А.А.;Собинка г., Строительная мкр, 121, 38;519;0
900085181;Морозов М.М.;Головино п., Пионерская шоссе, 103, 133;519;0
900085193;данные отсутствуют;Бавлены п., Октябрьская наб, 77, 0;519;129.85
900085221;Петров П.П.;Муром г., Молодежная пл, 92, 120;519;379.24;3300000001 ХВС;0
900085256;Морозов М.М.;Александров г., Улица не указана, Центральная, 0;0;0
900085265;данные отсутствуют;Боголюбово п., Октябрьская б-р, 58, 0;519;446.58
900085271;Попов Д.Д.;Семьинское с., Набережная наб, 125, 30;519;0
900085287;Новиков Н.Н.;Киржач г., Полевая мкр, 58, 90;519;188.42;3300000001 ХВС;0
900085304;Лебедев Л.Л.;Беречино д., Центральная пер, 32, 130;519;0
900085336;Васильев Е.Е.;Ковров г., Мира мкр, Дом не указан, Квартира не указана;519;499.90
900085347;Смирнов В.В.;Боголюбово п., Первомайская ул, 117А, 92;519;138.99;3300000001 ХВС;0
900085362;Кузнецов А.А.;Ставрово п., Садовая мкр, Дом не указан, Квартира не указана;519;492.21
900085364;Егоров Е.Е.;Кольчугино г., Заречная пр-кт, 104, 57;519;0
900085386;Морозов М.М.;Головино п., Улица не указана, Свободы, 0;0;0
900085428;Фёдоров Ф.Ф.;Сокол п., Центральная ул, 9, 75;519;0
900085482;данные отсутствуют;Владимир г., Колхозная ул, 134, 0;519;472.41
900085488;Семёнов С.С.;Бавлены п., Ленина пер, Дом не указан, Квартира не указана;519;232.29
900085537;Морозов М.М.;Лакинск г., Заречная шоссе, Дом не указан, Квартира не указана;519;283.59
900085568;Алексеев А.А.;Собинка г., Улица не указана, Полевая, 0;0;0
900085588;данные отсутствуют;Киржач г., Пионерская пер, 103, 0;519;277.51
900085621;Михайлов М.М.;Лемешки с., Школьная пер, Дом не указан, Квартира не указана;519;247.68
900085644;Михайлов М.М.;Бавлены п., Мира б-р, 106, 34;519;0
900085664;Попов Д.Д.;Муром г., Гагарина ул, Дом не указан, Квартира не указана;519;370.35
900085688;Михайлов М.М.;Ковров г., Советская тер, 93, 72;519;0
